time,reportedHashrate,currentHashrate,validShares,invalidShares,staleShares,activeWorkers
1549538400,380238068,3.606666666666666E8,322,0,4,3
1549539600,380280270,3.896111111111111E8,350,0,1,3
1549540800,380320848,3.784444444444445E8,338,0,4,3
1549542000,380283575,3.895555555555556E8,348,0,4,3
1549543200,380261304,3.691666666666667E8,329,0,5,3
1549544400,380238603,3.825E8,341,0,5,3
1549545600,380223114,3.825E8,341,0,5,3
1549461000,380318499,3.973333333333333E8,355,0,4,3
1549462200,380272982,4.088333333333334E8,366,0,3,3
1549463400,380253110,4.0588888888888884E8,364,0,2,3
1549464600,380245687,4.147777777777778E8,372,0,2,3
1549465800,380222514,3.7472222222222227E8,334,0,5,3
1549467000,380195542,3.806111111111111E8,338,0,7,3
1549468200,380232869,3.691111111111111E8,327,0,8,3
1549469400,380245993,4.017222222222222E8,357,0,7,3
1549470600,380254824,3.932222222222222E8,350,0,6,3
1549471800,380208853,4.106666666666666E8,367,0,4,3
1549473000,380285210,3.8772222222222227E8,347,0,3,3
1549474200,380319040,3.985E8,358,0,1,3
1549475400,380312782,3.818333333333333E8,343,0,1,3
1549476600,380312510,3.933333333333334E8,354,0,0,3
1549477800,380286763,3.907222222222222E8,351,0,1,3
1549479000,380268889,3.74E8,334,0,4,3
1549480200,380284139,3.750555555555556E8,333,0,7,3
1549481400,380223619,3.435555555555555E8,304,0,8,3
1549482600,380297367,3.5138888888888896E8,313,0,5,3
1549483800,380237674,3.551111111111111E8,317,0,4,3
1549485000,380201900,3.658888888888889E8,328,0,2,3
1549486200,380176618,4.0588888888888896E8,364,0,2,3
1549487400,380273245,3.940555555555556E8,354,0,1,3
1549488600,380239906,4.129444444444445E8,371,0,1,3
1549489800,379843692,3.803333333333334E8,341,0,2,3
1549491000,380329194,4.028888888888889E8,360,0,4,3
1549492200,380331307,4.054444444444445E8,361,0,6,3
1549493400,380327288,4.247222222222222E8,379,0,5,3
1549494600,380312851,4.139444444444444E8,368,0,7,3
1549495800,380325021,4.039444444444444E8,359,0,7,3
1549497000,380307363,3.802222222222222E8,337,0,8,3
1549498200,380297234,3.599444444444445E8,322,0,3,3
1549499400,380318766,3.595555555555555E8,321,0,4,3
1549500600,380296484,3.813888888888889E8,340,0,5,3
1549501800,380340048,3.980555555555556E8,355,0,5,3
1549503000,380314678,4.002777777777778E8,357,0,5,3
1549504200,380304089,4.021666666666667E8,360,0,3,3
1549505400,380289626,4.017777777777778E8,359,0,4,3
1549506600,380282611,4.025555555555555E8,361,0,2,3
1549507800,380274237,3.803333333333334E8,341,0,2,3
1549509000,380206534,3.5177777777777773E8,314,0,4,3
1549510200,380223722,3.491666666666666E8,311,0,5,3
1549511400,380245571,3.713888888888889E8,331,0,5,3
1549512600,380202750,3.928888888888889E8,351,0,4,3
1549513800,380212944,4.028888888888889E8,360,0,4,3
1549515000,380325435,4.228333333333333E8,376,0,7,3
1549516200,380338327,4.254444444444445E8,379,0,6,3
1549517400,380304577,4.225E8,377,0,5,3
1549518600,380300872,3.7161111111111116E8,326,0,13,3
1549519800,380343442,3.649444444444444E8,320,0,13,3
1549521000,380333726,3.438333333333334E8,301,0,13,3
1549522200,380309290,3.603333333333334E8,323,0,2,3
1549523400,380309247,3.7738888888888884E8,339,0,1,3
1549524600,380291888,3.914444444444444E8,351,0,2,3
1549525800,380274383,3.8549999999999994E8,345,0,3,3
1549527000,380257001,3.584444444444445E8,320,0,4,3
1549528200,380302594,3.61E8,321,0,6,3
1549529400,380231044,3.702777777777778E8,330,0,5,3
1549530600,380281490,3.665555555555556E8,326,0,6,3
1549531800,380267149,3.580555555555556E8,319,0,5,3
1549533000,380212549,3.528333333333333E8,313,0,7,3
1549534200,380242875,3.7138888888888884E8,331,0,5,3
1549535400,380273685,3.676666666666667E8,327,0,6,3
1549536600,380299070,3.569444444444444E8,318,0,5,3
1549537800,380308917,3.513888888888889E8,313,0,5,3
1549539000,380321506,3.714444444444445E8,333,0,2,3
1549540200,380317936,3.732777777777778E8,334,0,3,3
1549541400,380287274,3.928888888888889E8,351,0,4,3
1549542600,380320798,3.684444444444444E8,329,0,4,3
1549543800,380317042,3.858333333333333E8,344,0,5,3
1549545000,380317710,3.791666666666666E8,338,0,5,3
1549546200,380329772,4.0361111111111116E8,360,0,5,3
